filename,title,description,feature,topic,role,level
help/using/quick-start-target-integration.md,"""Quick Start: Adobe Target Standard/Premium integration""",An introduction and Quick Start to Adobe Target Standard/Premium to help you get up and running quickly with Adobe Target Standard/Premium integration techniques in Adobe Dynamic Media Classic.,Dynamic Media Classic,Integrations,"Data Engineer,Admin,User",Experienced
help/using/quick-start-ecatalog.md,"""Quick Start: eCatalogs""",An introduction and Quick Start to eCatalogs to help you get up and running quickly with eCatalog techniques in Adobe Dynamic Media Classic.,"Dynamic Media Classic,Viewers,eCatalog",Integrations,User,Experienced
help/using/quick-start-image-sets.md,"""Quick Start: Image Sets""",An introduction and Quick Start to Image Sets to help you get up and running quickly with Image Set techniques in Adobe Dynamic Media Classic.,"Dynamic Media Classic,Viewers,Image Sets",Content Management,User,Beginner
help/using/quick-start-image-sizing.md,"""Quick Start: Image Sizing""",An introduction and Quick Start to Image Sizing to help you get up and running quickly with Image Sizing techniques in Adobe Dynamic Media Classic.,"Dynamic Media Classic,Asset Management",Content Management,User,Beginner
help/using/quick-start-integrating-dmc-analytics.md,"""Quick Start: Integrate Adobe Dynamic Media Classic and Adobe Analytics""",An introduction and Quick Start on how to integrate Adobe Dynamic Media Classic and Adobe Analytics to help you get up and running quickly.,Dynamic Media Classic,Integrations,"Data Engineer,Admin,User",Experienced
help/using/quick-start-media-portal-administration.md,"""Quick Start: Media Portal""",An introduction and Quick Start to Media Portal to help you get up and running quickly with Media Portal techniques and administration in Adobe Dynamic Media Classic.,"Dynamic Media Classic,Collaboration,Asset Management","Collaboration, Content Management","Admin,User",Beginner
help/using/quick-start-mixed-media-sets.md,"""Quick Start: Mixed Media Set""",An introduction and Quick Start to Mixed Media Sets to help you get up and running quickly in Adobe Dynamic Media Classic.,"Dynamic Media Classic,Viewers,Mixed Media Sets",Content Management,User,Beginner
help/using/quick-start-spin-sets.md,"""Quick Start: Spin Sets""",An introduction and Quick Start to Spin Set to help you get up and running quickly in Adobe Dynamic Media Classic.,"Dynamic Media Classic,Viewers,Spin Sets",Content Management,User,Beginner
help/using/quick-start-swatch-sets.md,"""Quick Start: Swatch Sets""",An introduction and Quick Start to Swatch Set to help you get up and running quickly in Adobe Dynamic Media Classic.,"Dynamic Media Classic,Viewers",Content Management,User,Beginner
help/using/quick-start-template-basics.md,"""Quick Start: Template Basics""",An introduction and Quick Start to Template Basics to help you get up and running quickly in Adobe Dynamic Media Classic.,Dynamic Media Classic,Content Management,User,Intermediate
help/using/quick-start-video.md,"""Quick Start: Video in Adobe Dynamic Media Classic""",An introduction and Quick Start to Adobe Dynamic Media Classic Video to help you get up and running quickly.,"Dynamic Media Classic,Viewers,Video",Content Management,User,Beginner
help/using/quick-start-zoom.md,"""Quick Start: Zoom""",An introduction and Quick Start to Zoom to help you get up and running quickly.,"Dynamic Media Classic,Viewers,Zoom",Content Management,User,Beginner
help/using/about-managing-assets.md,About managing assets in Adobe Dynamic Media Classic,An introduction to managing assets in Adobe Dynamic Media Classic,"Dynamic Media Classic,Asset Management",Content Management,User,Intermediate
help/using/about-asset-upload-publish.md,About uploading and publishing assets,Learn how to upload and publish of assets in Adobe Dynamic Media Classic.,"Dynamic Media Classic,Asset Management",Content Management,User,Intermediate
